"predecessor_canonical","successor_canonical","effective_date","relation","note"
"Department of Agriculture, Water and the Environment","Department of Agriculture, Fisheries and Forestry","2022-07-01","split","DAWE split: agriculture functions → DAFF; environment/climate/water → DCCEEW"
"Department of Agriculture, Water and the Environment","Department of Climate Change, Energy, the Environment and Water","2022-07-01","split","DAWE split: agriculture functions → DAFF; environment/climate/water → DCCEEW"
"Department of Industry, Science, Energy and Resources","Department of Industry, Science and Resources","2022-07-01","rename","Energy functions moved to DCCEEW; DISER became DISR"
"Department of Education, Skills and Employment","Department of Education","2022-07-01","split","DESE split: education functions → Dept Education; employment → DEWR"
"Department of Education, Skills and Employment","Department of Employment and Workplace Relations","2022-07-01","split","DESE split: education functions → Dept Education; employment → DEWR"
"Department of Infrastructure, Transport, Regional Development and Communications","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","2022-07-01","rename","Renamed to reflect arts functions (in the portfolio since the 2020 Communications and the Arts merger)"
"Department of Infrastructure, Transport, Regional Development, Communications and the Arts","Department of Infrastructure, Transport, Regional Development, Communications, Sport and the Arts","2025-05-13","rename","Sport and recreation functions transferred from the Health portfolio; department renamed. This dataset presents the DITRDC → DITRDCA → DITRDCSA chain as one continuous series under the current name — see the data dictionary."
"Department of Health","Department of Health and Aged Care","2022-07-01","rename","Renamed to reflect aged-care functions; no function transfer"
"Australian Sports Anti-Doping Authority","Sport Integrity Australia","2020-07-01","rename","ASADA renamed and expanded to Sport Integrity Australia"
"Australian Commission for Law Enforcement Integrity","National Anti-Corruption Commission","2023-07-01","merge","ACLEI merged into new NACC (broader jurisdiction)"
"Administrative Appeals Tribunal","Administrative Review Tribunal","2024-10-14","rename","AAT abolished and replaced by Administrative Review Tribunal"
"Department of Health and Aged Care","Department of Health, Disability and Ageing","2025-05-13","rename","NDIS and Foundational Supports functions transferred from Social Services (broader disability policy followed 2025-06-26 via AAO amendment); department renamed"
"Independent Hospital Pricing Authority","Independent Health and Aged Care Pricing Authority","2022-08-12","rename","IHPA renamed and expanded to IHACPA (aged-care pricing functions added)"
"Asbestos Safety and Eradication Agency","Asbestos and Silica Safety and Eradication Agency","2023-12-15","rename","Silica functions added; agency renamed to include silica safety"
